group	group_name	start	end	width
1	NA	1	555	555
1	NA	556	556	1
1	NA	557	939	383
1	NA	940	945	6
1	NA	946	1923	978
2	NA	1	103	103
2	NA	104	115	12
2	NA	116	295	180
2	NA	296	296	1
2	NA	297	937	641
2	NA	938	938	1
2	NA	939	942	4
2	NA	943	944	2
2	NA	945	974	30
2	NA	975	975	1
2	NA	976	1264	289
2	NA	1265	1264	0
2	NA	1265	1339	75
2	NA	1340	1340	1
2	NA	1341	1395	55
2	NA	1396	1395	0
2	NA	1396	1433	38
2	NA	1434	1433	0
2	NA	1434	1470	37
2	NA	1471	1470	0
2	NA	1471	1473	3
2	NA	1474	1473	0
2	NA	1474	1476	3
2	NA	1477	1477	1
2	NA	1478	1535	58
2	NA	1536	1536	1
2	NA	1537	1608	72
2	NA	1609	1609	1
2	NA	1610	1677	68
2	NA	1678	1678	1
2	NA	1679	1908	230
2	NA	1909	1909	1
2	NA	1910	1923	14
3	NA	1	1923	1923
4	NA	1	1923	1923
5	NA	1	357	357
5	NA	358	357	0
5	NA	358	908	551
5	NA	909	945	37
5	NA	946	1824	879
5	NA	1825	1825	1
5	NA	1826	1923	98
6	NA	1	1067	1067
6	NA	1068	1068	1
6	NA	1069	1749	681
6	NA	1750	1749	0
6	NA	1750	1800	51
6	NA	1801	1801	1
6	NA	1802	1923	122
7	NA	1	604	604
7	NA	605	604	0
7	NA	605	927	323
7	NA	928	927	0
7	NA	928	974	47
7	NA	975	974	0
7	NA	975	1015	41
7	NA	1016	1016	1
7	NA	1017	1166	150
7	NA	1167	1167	1
7	NA	1168	1200	33
7	NA	1201	1201	1
7	NA	1202	1923	722
8	NA	1	1923	1923
9	NA	1	317	317
9	NA	318	318	1
9	NA	319	859	541
9	NA	860	859	0
9	NA	860	1923	1064
10	NA	1	1923	1923
11	NA	1	346	346
11	NA	347	347	1
11	NA	348	1004	657
11	NA	1005	1004	0
11	NA	1005	1535	531
11	NA	1536	1536	1
11	NA	1537	1922	386
12	NA	1	1923	1923
13	NA	1	90	90
13	NA	91	90	0
13	NA	91	311	221
13	NA	312	311	0
13	NA	312	966	655
13	NA	967	967	1
13	NA	968	1006	39
13	NA	1007	1006	0
13	NA	1007	1029	23
13	NA	1030	1029	0
13	NA	1030	1923	894
13	NA	1924	1923	0
14	NA	1	103	103
14	NA	104	103	0
14	NA	104	640	537
14	NA	641	640	0
14	NA	641	1608	968
14	NA	1609	1608	0
14	NA	1609	1623	15
14	NA	1624	1623	0
14	NA	1624	1889	266
14	NA	1890	1889	0
14	NA	1890	1923	34
15	NA	1	962	962
15	NA	963	965	3
15	NA	966	967	2
15	NA	968	970	3
15	NA	971	1066	96
15	NA	1067	1069	3
15	NA	1070	1093	24
15	NA	1094	1094	1
15	NA	1095	1923	829
16	NA	1	103	103
16	NA	104	117	14
16	NA	118	1923	1806
17	NA	1	48	48
17	NA	49	49	1
17	NA	50	101	52
17	NA	102	102	1
17	NA	103	103	1
17	NA	104	103	0
17	NA	104	129	26
17	NA	130	129	0
17	NA	130	189	60
17	NA	190	190	1
17	NA	191	317	127
17	NA	318	317	0
17	NA	318	786	469
17	NA	787	787	1
17	NA	788	880	93
17	NA	881	880	0
17	NA	881	1029	149
17	NA	1030	1029	0
17	NA	1030	1389	360
17	NA	1390	1390	1
17	NA	1391	1889	499
17	NA	1890	1890	1
17	NA	1891	1910	20
17	NA	1911	1911	1
17	NA	1912	1923	12
18	NA	1	517	517
18	NA	518	517	0
18	NA	518	718	201
18	NA	719	718	0
18	NA	719	906	188
18	NA	907	906	0
18	NA	907	950	44
18	NA	951	951	1
18	NA	952	1080	129
18	NA	1081	1081	1
18	NA	1082	1394	313
18	NA	1395	1394	0
18	NA	1395	1524	130
18	NA	1525	1524	0
18	NA	1525	1558	34
18	NA	1559	1558	0
18	NA	1559	1923	365
19	NA	1	1923	1923
20	NA	1	876	876
20	NA	877	876	0
20	NA	877	940	64
20	NA	941	940	0
20	NA	941	943	3
20	NA	944	943	0
20	NA	944	944	1
20	NA	945	945	1
20	NA	946	1800	855
20	NA	1801	1801	1
20	NA	1802	1923	122
21	NA	1	531	531
21	NA	532	532	1
21	NA	533	1453	921
21	NA	1454	1454	1
21	NA	1455	1922	468
22	NA	1	1923	1923
23	NA	1	585	585
23	NA	586	586	1
23	NA	587	1824	1238
23	NA	1825	1825	1
23	NA	1826	1923	98
24	NA	1	101	101
24	NA	102	113	12
24	NA	114	455	342
24	NA	456	455	0
24	NA	456	531	76
24	NA	532	532	1
24	NA	533	1672	1140
24	NA	1673	1673	1
24	NA	1674	1923	250
25	NA	1	102	102
25	NA	103	102	0
25	NA	103	939	837
25	NA	940	945	6
25	NA	946	1923	978
26	NA	1	103	103
26	NA	104	103	0
26	NA	104	842	739
26	NA	843	843	1
26	NA	844	945	102
26	NA	946	963	18
26	NA	964	1889	926
26	NA	1890	1890	1
26	NA	1891	1923	33
27	NA	1	102	102
27	NA	103	102	0
27	NA	103	847	745
27	NA	848	847	0
27	NA	848	1923	1076
28	NA	1	101	101
28	NA	102	113	12
28	NA	114	1923	1810
29	NA	1	1922	1922
30	NA	1	102	102
30	NA	103	102	0
30	NA	103	288	186
30	NA	289	288	0
30	NA	289	1824	1536
30	NA	1825	1825	1
30	NA	1826	1923	98
31	NA	1	1923	1923
32	NA	1	196	196
32	NA	197	196	0
32	NA	197	288	92
32	NA	289	288	0
32	NA	289	436	148
32	NA	437	436	0
32	NA	437	447	11
32	NA	448	447	0
32	NA	448	555	108
32	NA	556	555	0
32	NA	556	924	369
32	NA	925	925	1
32	NA	926	926	1
32	NA	927	926	0
32	NA	927	1726	800
32	NA	1727	1727	1
32	NA	1728	1824	97
32	NA	1825	1825	1
32	NA	1826	1923	98
33	NA	1	939	939
33	NA	940	945	6
33	NA	946	1923	978
34	NA	1	27	27
34	NA	28	28	1
34	NA	29	159	131
34	NA	160	159	0
34	NA	160	357	198
34	NA	358	357	0
34	NA	358	943	586
34	NA	944	945	2
34	NA	946	946	1
34	NA	947	1166	220
34	NA	1167	1167	1
34	NA	1168	1243	76
34	NA	1244	1243	0
34	NA	1244	1564	321
34	NA	1565	1564	0
34	NA	1565	1923	359
35	NA	1	103	103
35	NA	104	103	0
35	NA	104	163	60
35	NA	164	163	0
35	NA	164	369	206
35	NA	370	370	1
35	NA	371	945	575
35	NA	946	963	18
35	NA	964	1057	94
35	NA	1058	1057	0
35	NA	1058	1170	113
35	NA	1171	1171	1
35	NA	1172	1200	29
35	NA	1201	1200	0
35	NA	1201	1323	123
35	NA	1324	1323	0
35	NA	1324	1401	78
35	NA	1402	1401	0
35	NA	1402	1535	134
35	NA	1536	1536	1
35	NA	1537	1608	72
35	NA	1609	1609	1
35	NA	1610	1824	215
35	NA	1825	1825	1
35	NA	1826	1923	98
36	NA	1	103	103
36	NA	104	103	0
36	NA	104	937	834
36	NA	938	937	0
36	NA	938	946	9
36	NA	947	964	18
36	NA	965	1050	86
36	NA	1051	1050	0
36	NA	1051	1054	4
36	NA	1055	1054	0
36	NA	1055	1148	94
36	NA	1149	1148	0
36	NA	1149	1864	716
36	NA	1865	1865	1
36	NA	1866	1923	58
37	NA	1	102	102
37	NA	103	106	4
37	NA	107	107	1
37	NA	108	109	2
37	NA	110	111	2
37	NA	112	113	2
37	NA	114	222	109
37	NA	223	223	1
37	NA	224	282	59
37	NA	283	283	1
37	NA	284	288	5
37	NA	289	289	1
37	NA	290	511	222
37	NA	512	512	1
37	NA	513	513	1
37	NA	514	514	1
37	NA	515	885	371
37	NA	886	885	0
37	NA	886	1301	416
37	NA	1302	1302	1
37	NA	1303	1318	16
37	NA	1319	1318	0
37	NA	1319	1491	173
37	NA	1492	1492	1
37	NA	1493	1923	431
38	NA	1	1923	1923
39	NA	1	886	886
39	NA	887	886	0
39	NA	887	1542	656
39	NA	1543	1542	0
39	NA	1543	1923	381
39	NA	1924	1923	0
40	NA	1	103	103
40	NA	104	103	0
40	NA	104	364	261
40	NA	365	364	0
40	NA	365	531	167
40	NA	532	531	0
40	NA	532	1786	1255
40	NA	1787	1787	1
40	NA	1788	1923	136
41	NA	1	103	103
41	NA	104	103	0
41	NA	104	941	838
41	NA	942	945	4
41	NA	946	1166	221
41	NA	1167	1166	0
41	NA	1167	1923	757
42	NA	1	944	944
42	NA	945	964	20
42	NA	965	1200	236
42	NA	1201	1200	0
42	NA	1201	1356	156
42	NA	1357	1356	0
42	NA	1357	1360	4
42	NA	1361	1360	0
42	NA	1361	1462	102
42	NA	1463	1462	0
42	NA	1463	1791	329
42	NA	1792	1791	0
42	NA	1792	1923	132
43	NA	1	103	103
43	NA	104	103	0
43	NA	104	939	836
43	NA	940	945	6
43	NA	946	1923	978
44	NA	1	77	77
44	NA	78	78	1
44	NA	79	240	162
44	NA	241	240	0
44	NA	241	382	142
44	NA	383	382	0
44	NA	383	636	254
44	NA	637	636	0
44	NA	637	871	235
44	NA	872	871	0
