seqname	sample	bp	cov	del	ins	indel	delRatio	insRatio	indelRatio	ReadNoDel	NoDelRatio
delreporter_original_BFP_PCR_pr870_pr875	BFP	1	1129	0	0	0	0	0	0	1129	1
delreporter_original_BFP_PCR_pr870_pr875	BFP	2	1168	0	0	0	0	0	0	1168	1
delreporter_original_BFP_PCR_pr870_pr875	BFP	3	1175	8	4	12	0.0068085106	0.0034042553	0.010212766	1167	0.9931914894
delreporter_original_BFP_PCR_pr870_pr875	BFP	4	1176	2	2	4	0.0017006803	0.0017006803	0.0034013605	1174	0.9982993197
delreporter_original_BFP_PCR_pr870_pr875	BFP	5	1176	1	3	4	0.0008503401	0.0025510204	0.0034013605	1175	0.9991496599
delreporter_original_BFP_PCR_pr870_pr875	BFP	6	1177	0	1	1	0	0.0008496177	0.0008496177	1177	1
delreporter_original_BFP_PCR_pr870_pr875	BFP	7	1177	0	0	0	0	0	0	1177	1
delreporter_original_BFP_PCR_pr870_pr875	BFP	8	1177	0	0	0	0	0	0	1177	1
delreporter_original_BFP_PCR_pr870_pr875	BFP	9	1177	0	0	0	0	0	0	1177	1
delreporter_original_BFP_PCR_pr870_pr875	BFP	10	1177	0	0	0	0	0	0	1177	1
delreporter_original_BFP_PCR_pr870_pr875	BFP	11	1177	0	0	0	0	0	0	1177	1
delreporter_original_BFP_PCR_pr870_pr875	BFP	12	1177	0	0	0	0	0	0	1177	1
delreporter_original_BFP_PCR_pr870_pr875	BFP	13	1177	0	0	0	0	0	0	1177	1
delreporter_original_BFP_PCR_pr870_pr875	BFP	14	1177	0	5	5	0	0.0042480884	0.0042480884	1177	1
delreporter_original_BFP_PCR_pr870_pr875	BFP	15	1177	0	0	0	0	0	0	1177	1
delreporter_original_BFP_PCR_pr870_pr875	BFP	16	1177	0	1	1	0	0.0008496177	0.0008496177	1177	1
delreporter_original_BFP_PCR_pr870_pr875	BFP	17	1177	0	0	0	0	0	0	1177	1
delreporter_original_BFP_PCR_pr870_pr875	BFP	18	1177	0	4	4	0	0.0033984707	0.0033984707	1177	1
delreporter_original_BFP_PCR_pr870_pr875	BFP	19	1177	0	4	4	0	0.0033984707	0.0033984707	1177	1
delreporter_original_BFP_PCR_pr870_pr875	BFP	20	1177	2	0	2	0.0016992353	0	0.0016992353	1175	0.9983007647
delreporter_original_BFP_PCR_pr870_pr875	BFP	21	1177	0	0	0	0	0	0	1177	1
delreporter_original_BFP_PCR_pr870_pr875	BFP	22	1177	0	0	0	0	0	0	1177	1
delreporter_original_BFP_PCR_pr870_pr875	BFP	23	1177	0	0	0	0	0	0	1177	1
