group	group_name	start	end	width	names
1	NA	1	555	555	=
1	NA	556	556	1	D
1	NA	557	939	383	=
1	NA	940	945	6	D
1	NA	946	1923	978	=
2	NA	1	103	103	=
2	NA	104	115	12	D
2	NA	116	295	180	=
2	NA	296	296	1	D
2	NA	297	937	641	=
2	NA	938	938	1	D
2	NA	939	942	4	=
2	NA	943	944	2	D
2	NA	945	974	30	=
2	NA	975	975	1	D
2	NA	976	1264	289	=
2	NA	1265	1264	0	I
2	NA	1265	1339	75	=
2	NA	1340	1340	1	D
2	NA	1341	1395	55	=
2	NA	1396	1395	0	I
2	NA	1396	1433	38	=
2	NA	1434	1433	0	I
2	NA	1434	1470	37	=
2	NA	1471	1470	0	I
2	NA	1471	1473	3	=
2	NA	1474	1473	0	I
2	NA	1474	1476	3	=
2	NA	1477	1477	1	D
2	NA	1478	1535	58	=
2	NA	1536	1536	1	D
2	NA	1537	1608	72	=
2	NA	1609	1609	1	D
2	NA	1610	1677	68	=
2	NA	1678	1678	1	D
2	NA	1679	1908	230	=
2	NA	1909	1909	1	D
2	NA	1910	1923	14	=
3	NA	1	1923	1923	=
4	NA	1	1923	1923	=
5	NA	1	357	357	=
5	NA	358	357	0	I
5	NA	358	908	551	=
5	NA	909	945	37	D
5	NA	946	1824	879	=
5	NA	1825	1825	1	D
5	NA	1826	1923	98	=
6	NA	1	1067	1067	=
6	NA	1068	1068	1	D
6	NA	1069	1749	681	=
6	NA	1750	1749	0	I
6	NA	1750	1800	51	=
6	NA	1801	1801	1	D
6	NA	1802	1923	122	=
7	NA	1	604	604	=
7	NA	605	604	0	I
7	NA	605	927	323	=
7	NA	928	927	0	I
7	NA	928	974	47	=
7	NA	975	974	0	I
7	NA	975	1015	41	=
7	NA	1016	1016	1	D
7	NA	1017	1166	150	=
7	NA	1167	1167	1	D
7	NA	1168	1200	33	=
7	NA	1201	1201	1	D
7	NA	1202	1923	722	=
8	NA	1	1923	1923	=
9	NA	1	317	317	=
9	NA	318	318	1	D
9	NA	319	859	541	=
9	NA	860	859	0	I
9	NA	860	1923	1064	=
10	NA	1	1923	1923	=
11	NA	1	346	346	=
11	NA	347	347	1	X
11	NA	348	1004	657	=
11	NA	1005	1004	0	I
11	NA	1005	1535	531	=
11	NA	1536	1536	1	D
11	NA	1537	1922	386	=
12	NA	1	1923	1923	=
13	NA	1	90	90	=
13	NA	91	90	0	I
13	NA	91	311	221	=
13	NA	312	311	0	I
13	NA	312	966	655	=
13	NA	967	967	1	D
13	NA	968	1006	39	=
13	NA	1007	1006	0	I
13	NA	1007	1029	23	=
13	NA	1030	1029	0	I
13	NA	1030	1923	894	=
13	NA	1924	1923	0	S
14	NA	1	103	103	=
14	NA	104	103	0	I
14	NA	104	640	537	=
14	NA	641	640	0	I
14	NA	641	1608	968	=
14	NA	1609	1608	0	I
14	NA	1609	1623	15	=
14	NA	1624	1623	0	I
14	NA	1624	1889	266	=
14	NA	1890	1889	0	I
14	NA	1890	1923	34	=
15	NA	1	962	962	=
15	NA	963	965	3	X
15	NA	966	967	2	=
15	NA	968	970	3	X
15	NA	971	1066	96	=
15	NA	1067	1069	3	X
15	NA	1070	1093	24	=
15	NA	1094	1094	1	X
15	NA	1095	1923	829	=
16	NA	1	103	103	=
16	NA	104	117	14	D
16	NA	118	1923	1806	=
17	NA	1	48	48	=
17	NA	49	49	1	D
17	NA	50	101	52	=
17	NA	102	102	1	X
17	NA	103	103	1	=
17	NA	104	103	0	I
17	NA	104	129	26	=
17	NA	130	129	0	I
17	NA	130	189	60	=
17	NA	190	190	1	D
17	NA	191	317	127	=
17	NA	318	317	0	I
17	NA	318	786	469	=
17	NA	787	787	1	D
17	NA	788	880	93	=
17	NA	881	880	0	I
17	NA	881	1029	149	=
17	NA	1030	1029	0	I
17	NA	1030	1389	360	=
17	NA	1390	1390	1	D
17	NA	1391	1889	499	=
17	NA	1890	1890	1	D
17	NA	1891	1910	20	=
17	NA	1911	1911	1	D
17	NA	1912	1923	12	=
18	NA	1	517	517	=
18	NA	518	517	0	I
18	NA	518	718	201	=
18	NA	719	718	0	I
18	NA	719	906	188	=
18	NA	907	906	0	I
18	NA	907	950	44	=
18	NA	951	951	1	D
18	NA	952	1080	129	=
18	NA	1081	1081	1	D
18	NA	1082	1394	313	=
18	NA	1395	1394	0	I
18	NA	1395	1524	130	=
18	NA	1525	1524	0	I
18	NA	1525	1558	34	=
18	NA	1559	1558	0	I
18	NA	1559	1923	365	=
19	NA	1	1923	1923	=
20	NA	1	876	876	=
20	NA	877	876	0	I
20	NA	877	940	64	=
20	NA	941	940	0	I
20	NA	941	943	3	=
20	NA	944	943	0	I
20	NA	944	944	1	=
20	NA	945	945	1	X
20	NA	946	1800	855	=
20	NA	1801	1801	1	D
20	NA	1802	1923	122	=
21	NA	1	531	531	=
21	NA	532	532	1	D
21	NA	533	1453	921	=
21	NA	1454	1454	1	D
21	NA	1455	1922	468	=
22	NA	1	1923	1923	=
23	NA	1	585	585	=
23	NA	586	586	1	D
23	NA	587	1824	1238	=
23	NA	1825	1825	1	D
23	NA	1826	1923	98	=
24	NA	1	101	101	=
24	NA	102	113	12	D
24	NA	114	455	342	=
24	NA	456	455	0	I
24	NA	456	531	76	=
24	NA	532	532	1	D
24	NA	533	1672	1140	=
24	NA	1673	1673	1	D
24	NA	1674	1923	250	=
25	NA	1	102	102	=
25	NA	103	102	0	I
25	NA	103	939	837	=
25	NA	940	945	6	D
25	NA	946	1923	978	=
26	NA	1	103	103	=
26	NA	104	103	0	I
26	NA	104	842	739	=
26	NA	843	843	1	D
26	NA	844	945	102	=
26	NA	946	963	18	D
26	NA	964	1889	926	=
26	NA	1890	1890	1	D
26	NA	1891	1923	33	=
27	NA	1	102	102	=
27	NA	103	102	0	I
27	NA	103	847	745	=
27	NA	848	847	0	I
27	NA	848	1923	1076	=
28	NA	1	101	101	=
28	NA	102	113	12	D
28	NA	114	1923	1810	=
29	NA	1	1922	1922	=
30	NA	1	102	102	=
30	NA	103	102	0	I
30	NA	103	288	186	=
30	NA	289	288	0	I
30	NA	289	1824	1536	=
30	NA	1825	1825	1	D
30	NA	1826	1923	98	=
31	NA	1	1923	1923	=
32	NA	1	196	196	=
32	NA	197	196	0	I
32	NA	197	288	92	=
32	NA	289	288	0	I
32	NA	289	436	148	=
32	NA	437	436	0	I
32	NA	437	447	11	=
32	NA	448	447	0	I
32	NA	448	555	108	=
32	NA	556	555	0	I
32	NA	556	924	369	=
32	NA	925	925	1	X
32	NA	926	926	1	=
32	NA	927	926	0	I
32	NA	927	1726	800	=
32	NA	1727	1727	1	D
32	NA	1728	1824	97	=
32	NA	1825	1825	1	D
32	NA	1826	1923	98	=
33	NA	1	939	939	=
33	NA	940	945	6	D
33	NA	946	1923	978	=
34	NA	1	27	27	=
34	NA	28	28	1	D
34	NA	29	159	131	=
34	NA	160	159	0	I
34	NA	160	357	198	=
34	NA	358	357	0	I
34	NA	358	943	586	=
34	NA	944	945	2	D
34	NA	946	946	1	X
34	NA	947	1166	220	=
34	NA	1167	1167	1	D
34	NA	1168	1243	76	=
34	NA	1244	1243	0	I
34	NA	1244	1564	321	=
34	NA	1565	1564	0	I
34	NA	1565	1923	359	=
35	NA	1	103	103	=
35	NA	104	103	0	I
35	NA	104	163	60	=
35	NA	164	163	0	I
35	NA	164	369	206	=
35	NA	370	370	1	D
35	NA	371	945	575	=
35	NA	946	963	18	D
35	NA	964	1057	94	=
35	NA	1058	1057	0	I
35	NA	1058	1170	113	=
35	NA	1171	1171	1	D
35	NA	1172	1200	29	=
35	NA	1201	1200	0	I
35	NA	1201	1323	123	=
35	NA	1324	1323	0	I
35	NA	1324	1401	78	=
35	NA	1402	1401	0	I
35	NA	1402	1535	134	=
35	NA	1536	1536	1	D
35	NA	1537	1608	72	=
35	NA	1609	1609	1	D
35	NA	1610	1824	215	=
35	NA	1825	1825	1	D
35	NA	1826	1923	98	=
36	NA	1	103	103	=
36	NA	104	103	0	I
36	NA	104	937	834	=
36	NA	938	937	0	I
36	NA	938	946	9	=
36	NA	947	964	18	D
36	NA	965	1050	86	=
36	NA	1051	1050	0	I
36	NA	1051	1054	4	=
36	NA	1055	1054	0	I
36	NA	1055	1148	94	=
36	NA	1149	1148	0	I
36	NA	1149	1864	716	=
36	NA	1865	1865	1	D
36	NA	1866	1923	58	=
37	NA	1	102	102	=
37	NA	103	106	4	D
37	NA	107	107	1	=
