group	group_name	start	end	width	names
1	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/5099/ccs	556	556	1	D
1	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/5099/ccs	940	945	6	D
2	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/86760/ccs	104	115	12	D
2	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/86760/ccs	296	296	1	D
2	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/86760/ccs	938	938	1	D
2	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/86760/ccs	943	944	2	D
2	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/86760/ccs	975	975	1	D
2	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/86760/ccs	1265	1264	0	I
2	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/86760/ccs	1340	1340	1	D
2	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/86760/ccs	1396	1395	0	I
2	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/86760/ccs	1434	1433	0	I
2	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/86760/ccs	1471	1470	0	I
2	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/86760/ccs	1474	1473	0	I
2	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/86760/ccs	1477	1477	1	D
2	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/86760/ccs	1536	1536	1	D
2	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/86760/ccs	1609	1609	1	D
2	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/86760/ccs	1678	1678	1	D
2	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/86760/ccs	1909	1909	1	D
5	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/117406/ccs	358	357	0	I
5	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/117406/ccs	909	945	37	D
5	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/117406/ccs	1825	1825	1	D
6	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/128361/ccs	1068	1068	1	D
6	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/128361/ccs	1750	1749	0	I
6	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/128361/ccs	1801	1801	1	D
7	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/134055/ccs	605	604	0	I
7	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/134055/ccs	928	927	0	I
7	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/134055/ccs	975	974	0	I
7	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/134055/ccs	1016	1016	1	D
7	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/134055/ccs	1167	1167	1	D
7	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/134055/ccs	1201	1201	1	D
9	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/30728/ccs	318	318	1	D
9	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/30728/ccs	860	859	0	I
11	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/52903/ccs	1005	1004	0	I
11	m180118_112736_42155_c101402132550000001823307603141895_s1_X0/52903/ccs	1536	1536	1	D
